City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Arak,IR,2020-11-30 19:41:17,34.09,49.69,41.18,72,0,1.41
71,Barcelos,PT,2020-11-30 19:45:20,41.54,-8.62,61.0,63,0,6.93
72,Paamiut,GL,2020-11-30 19:45:20,61.99,-49.67,29.12,88,100,25.9
73,Krasnouralsk,RU,2020-11-30 19:45:21,58.36,60.04,14.4,95,0,5.68
74,Mar Del Plata,AR,2020-11-30 19:42:12,-38.0,-57.56,62.6,51,0,11.41
75,Salta,AR,2020-11-30 19:44:41,-24.79,-65.41,73.4,64,90,2.24
76,Beaucaire,FR,2020-11-30 19:45:21,43.81,4.64,37.4,74,0,6.93
77,Bonthe,SL,2020-11-30 19:45:21,7.53,-12.51,78.71,84,14,3.94
78,Kaitangata,NZ,2020-11-30 19:45:22,-46.28,169.85,55.0,63,10,4.0
79,Vaitape,PF,2020-11-30 19:45:22,-16.52,-151.75,81.61,75,18,11.48
80,Kysyl-Syr,RU,2020-11-30 19:45:22,63.9,122.76,-8.1,90,84,5.61
81,Katsuura,JP,2020-11-30 19:45:23,35.13,140.3,51.8,66,20,10.29
82,Albany,US,2020-11-30 19:45:23,42.6,-73.97,54.0,100,90,4.7
83,Shuyskoye,RU,2020-11-30 19:45:23,59.37,41.03,31.91,97,100,11.63
84,Broken Hill,AU,2020-11-30 19:45:23,-31.95,141.43,84.2,21,0,14.99
85,Sungaipenuh,ID,2020-11-30 19:45:24,-2.08,101.38,61.9,71,79,2.1
86,Pozo Colorado,PY,2020-11-30 19:45:24,-23.49,-58.8,89.28,50,95,13.29
87,Meulaboh,ID,2020-11-30 19:45:24,4.14,96.13,77.07,88,100,3.67
88,Iqaluit,CA,2020-11-30 19:45:24,63.75,-68.51,-9.4,63,20,8.05
89,Skofljica,SI,2020-11-30 19:45:25,45.98,14.58,28.99,71,4,2.08
90,Rio Grande,BR,2020-11-30 19:42:43,-32.03,-52.1,73.4,60,75,16.11
91,Sulangan,PH,2020-11-30 19:45:25,11.14,123.72,82.15,78,52,22.86
92,Gallup,US,2020-11-30 19:45:25,35.53,-108.74,46.4,28,1,3.69
93,Ashta,IN,2020-11-30 19:42:41,23.02,76.72,62.37,43,0,3.36
94,Hermanus,ZA,2020-11-30 19:43:32,-34.42,19.23,63.0,79,18,5.99
95,Jishou,CN,2020-11-30 19:45:26,28.32,109.72,44.73,75,100,3.47
96,Panlaitan,PH,2020-11-30 19:45:26,12.12,119.85,81.28,66,0,10.92
97,Gazojak,TM,2020-11-30 19:45:26,41.19,61.4,32.58,80,100,15.23
98,Mosquera,CO,2020-11-30 19:45:26,4.71,-74.23,66.2,55,40,10.29
99,Faanui,PF,2020-11-30 19:40:34,-16.48,-151.75,80.74,77,11,11.48
100,Tuktoyaktuk,CA,2020-11-30 19:45:27,69.45,-133.04,-2.2,77,90,12.75
101,Waingapu,ID,2020-11-30 19:45:27,-9.66,120.26,81.27,77,100,2.35
102,Kempele,FI,2020-11-30 19:45:27,64.91,25.5,30.2,86,90,8.05
103,Tuatapere,NZ,2020-11-30 19:45:27,-46.13,167.68,50.0,81,6,4.0
104,Poum,NC,2020-11-30 19:45:27,-20.23,164.02,75.7,69,100,8.34
105,Hervey Bay,AU,2020-11-30 19:45:27,-25.3,152.85,73.99,86,100,3.0
