City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Yeppoon,AU,82.4,scattered clouds,-23.13,150.73,Villa Mar Colina
304,Vila Velha,BR,75.99,thunderstorm with light rain,-20.33,-40.29,Hotel Vitória Palace
305,Puerto Ayacucho,VE,79.34,broken clouds,5.66,-67.62,Posada Turistica Manapiare
306,Barra,BR,79.74,few clouds,-11.09,-43.14,Pousada Bahia
318,Norsup,VU,80.6,moderate rain,-16.07,167.38,Nabelchel Bungalows
319,Bac Lieu,VN,76.26,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
321,Mozarlandia,BR,81.59,scattered clouds,-14.74,-50.57,Hotel Santa Mônica
325,Bonthe,SL,79.21,scattered clouds,7.53,-12.51,Bonthe Holiday Village
327,Santa Rosa,PH,80.6,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
329,Vilhena,BR,77.0,clear sky,-12.74,-60.15,Hotel Mirage
332,Barra Do Corda,BR,77.05,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
335,Polewali,ID,79.34,broken clouds,-3.43,119.34,Lilianto Hotel
337,San Juan Tecuaco,GT,86.0,few clouds,14.08,-90.26,Parque de San Juan Tecuaco
346,Trairi,BR,80.64,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
354,Mumford,GH,80.28,clear sky,5.26,-0.76,Spanish Villa
360,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
363,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
367,Bata,GQ,78.26,broken clouds,1.86,9.77,Hotel Carmen
377,Ponnani,IN,75.2,mist,10.77,75.93,Rouba Residency
379,Bom Jesus,BR,80.11,broken clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
380,Port Blair,IN,81.03,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
387,Ondjiva,AO,78.15,scattered clouds,-17.07,15.73,SOS Motel
390,Padang,ID,75.74,clear sky,-0.95,100.35,Mercure Padang
391,Kavieng,PG,82.08,light rain,-2.57,150.8,Nusa Island Retreat
393,Nortelandia,BR,82.42,broken clouds,-14.45,-56.8,Hotel Karysmã
396,Cap Malheureux,MU,78.01,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
399,Benguela,AO,76.82,overcast clouds,-12.58,13.41,Hotel Praia Morena
403,Caravelas,BR,77.09,broken clouds,-17.71,-39.25,Pousada dos Navegantes
405,The Valley,AI,79.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
406,Maldonado,UY,77.0,light rain,-34.67,-54.92,La Cimarrona
410,Kribi,CM,78.78,clear sky,2.95,9.92,Les Vagues bleues
425,Phuket,TH,81.0,broken clouds,8.0,98.25,The Surin Phuket
427,Gondang,ID,75.29,overcast clouds,-7.01,111.32,Tempat kost Griyo Lestari
428,Champerico,GT,87.8,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
434,Road Town,VG,79.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
435,Moerai,PF,79.32,overcast clouds,-22.43,-151.33,Le Manotel
443,Port Hedland,AU,86.0,scattered clouds,-20.32,118.57,The Esplanade Hotel
449,Kalmunai,LK,77.41,light rain,7.42,81.82,VS Villa
453,Manati,PR,78.01,broken clouds,18.43,-66.49,Manati World Point Inn
455,Morondava,MG,78.06,moderate rain,-20.28,44.28,La Case Bambou
457,Ambon,ID,78.8,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
460,Puerto Baquerizo Moreno,EC,77.0,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
461,Ranong,TH,77.16,light rain,9.97,98.63,Tinidee Hotel@Ranong
462,Mabay,PH,80.35,light rain,6.06,124.47,Bautista Lodging House
466,Sao Joao Da Barra,BR,75.76,heavy intensity rain,-21.64,-41.05,Pousada Porto De Canoas
467,Vanimo,PG,81.1,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
473,Podor,MR,77.18,broken clouds,16.65,-14.96,La cour du fleuve
474,Vaitape,PF,81.64,light rain,-16.52,-151.75,Conrad Bora Bora Nui
475,Marang,MY,75.2,heavy intensity rain,5.21,103.21,DBarakah Homestay
480,Cockburn Town,TC,78.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
481,Basco,PH,75.52,overcast clouds,20.45,121.97,Nathaniel's Lodge
484,Neiafu,TO,82.4,broken clouds,-18.65,-173.98,Mystic Sands
485,Pochutla,MX,82.4,scattered clouds,15.74,-96.47,Hotel Posada San Jose
489,Sinnamary,GF,78.57,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
492,Sungairaya,ID,77.52,few clouds,0.7,108.9,Mess P.Milu
494,Jacareacanga,BR,81.37,overcast clouds,-6.22,-57.75,Casa do Ian😎
495,Kinablangan,PH,81.34,moderate rain,7.69,126.55,Danny Moreno Property
500,Basoko,CD,75.0,broken clouds,1.24,23.62,Flat Hotel La Benediction
502,Ewa Beach,US,82.4,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
504,Coachella,US,77.0,clear sky,33.68,-116.17,The Vineyards Luxury Motor Coach RV Resort and Golf Course
505,Kiunga,PG,76.68,light rain,-6.12,141.29,Airport Lodge Kiunga
